Ply_name,Texture Condition,Brightness distortion,Color Distortion,Noise,Blurriness,Point Density Distortion,Scattering Artifact,Grid Artifact,Missing Region,Deformed Shape,MOS,Rounded MOS,Label,Quality Description,Generated_Description
bag_gQP_1_tQP_1.ply,Clearly Identifiable,Low,Low,,,Medium,,,Low,,86.69456186,87,Excellent,,"From a perceptual viewpoint, the texture is clearly identifiable. Geometric distortions are characterized by a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness. The overall quality is rated as excellent."
bag_gQP_1_tQP_2.ply,Clearly Identifiable,Low,Low,,Low,Medium,,,Low,,76.14530845,76,Good,,"Visually, the texture is clearly identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
bag_gQP_1_tQP_3.ply,Slightly distorted but identifiable,Low,Low,,Low,Medium,,,Low,,52.85558429,53,Fair,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
bag_gQP_2_tQP_1.ply,Slightly distorted but identifiable,Low,Low,,Low,Low,Low,,Medium,,52.1814527,52,Fair,,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_gQP_2_tQP_2.ply,Slightly distorted but identifiable,Low,Low,,Low,Low,Medium,,Medium,,49.31511353,49,Fair,,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, while geometric artifacts include a low level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_gQP_2_tQP_3.ply,Slightly distorted but identifiable,Low,Low,,Medium,Low,Medium,,High,,39.10736912,39,Poor,,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness; on the geometric side, we observe a low level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_gQP_3_tQP_1.ply,Slightly distorted but identifiable,Low,Low,,Low,Low,High,,High,,27.44033309,27,Poor,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
bag_gQP_3_tQP_2.ply,Slightly distorted but identifiable,Low,Low,,Low,Medium,High,,High,,32.01772343,32,Poor,,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, whereas geometric effects involve a medium level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_gQP_3_tQP_3.ply,Slightly distorted but identifiable,Low,Low,,Medium,Medium,High,,High,,29.61486469,30,Poor,,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_gsigma_0_tsigma_8.ply,Clearly Identifiable,Low,Low,,,Low,,,,,88.78171897,89,Excellent,,"Visually, the texture is clearly identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as excellent."
bag_gsigma_0_tsigma_16.ply,Clearly Identifiable,Low,Low,,,Low,,,,,86.24911138,86,Excellent,,"Visually, the texture is clearly identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as excellent."
