Ply_name,Texture Condition,Brightness distortion,Color Distortion,Noise,Blurriness,Point Density Distortion,Scattering Artifact,Grid Artifact,Missing Region,Deformed Shape,MOS,Rounded MOS,Label,Generated_Description
bag_gQP_1_tQP_1.ply,Clearly Identifiable,Low,Low,None,None,Medium,None,None,Low,None,86.69456186,87,Excellent,"Considering this point cloud, the texture is clearly identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness, whereas geometric effects involve a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
bag_gQP_1_tQP_2.ply,Clearly Identifiable,Low,Low,None,Low,Medium,None,None,Low,None,76.14530845,76,Good,"When examining this point cloud, the texture is clearly identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness; on the geometric side, we observe a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as good."
bag_gQP_1_tQP_3.ply,Slightly distorted but identifiable,Low,Low,None,Low,Medium,None,None,Low,None,52.85558429,53,Fair,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, whereas geometric effects involve a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_gQP_2_tQP_1.ply,Distorted but identifiable,Low,Low,None,Low,Medium,Low,None,Medium,None,52.1814527,52,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
bag_gQP_2_tQP_2.ply,Distorted but identifiable,Low,Low,None,Low,Medium,Medium,None,Medium,None,49.31511353,49,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
bag_gQP_2_tQP_3.ply,Distorted but identifiable,Low,Low,None,Medium,Medium,Medium,None,High,None,39.10736912,39,Poor,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_gQP_3_tQP_1.ply,Distorted but identifiable,Low,Low,None,Low,Medium,High,None,High,None,27.44033309,27,Poor,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a medium level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. The overall quality is rated as poor."
bag_gQP_3_tQP_2.ply,Distorted but identifiable,Low,Low,None,Medium,Medium,High,None,High,None,32.01772343,32,Poor,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_gQP_3_tQP_3.ply,Distorted but identifiable,Low,Low,None,Medium,Medium,High,None,High,None,29.61486469,30,Poor,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, whereas geometric effects involve a medium level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_gsigma_0_tsigma_8.ply,Clearly Identifiable,Low,Low,None,None,Low,None,None,None,None,88.78171897,89,Excellent,"Visually, the texture is clearly identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as excellent."
