Ply_name,Texture Condition,Brightness distortion,Color Distortion,Noise,Blurriness,Point Density Distortion,Scattering Artifact,Grid Artifact,Missing Region,Deformed Shape,MOS,Rounded MOS,Label,Generated_Description
hhi_0.ply,Slightly distorted but identifiable,Low,Low,Low,None,Low,None,Low,None,None,9.516666667,10,Excellent,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, a low level of grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
hhi_1.ply,Distorted but identifiable,Low,Low,Low,None,Low,None,Medium,None,None,7.7109375,8,Good,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, a medium level of grid artifact, a medium level of missing region, and no perceptible deformed shape. The overall quality is rated as good."
hhi_2.ply,Slightly distorted but identifiable,Medium,Low,Low,None,Low,None,Low,None,None,8.9453125,9,Excellent,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a medium level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, a low level of grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
hhi_3.ply,Barely Identifiable,Medium,Medium,Low,None,Medium,None,High,None,None,7.371153846,7,Good,"Visually, the texture is barely identifiable, with photometric distortions such as a medium level of brightness distortion, a medium level of color distortion, a low level of noise, and no perceptible blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, a high level of grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
hhi_4.ply,Barely Identifiable,High,Medium,Medium,None,Medium,None,Severe,None,None,4.183333333,4,Poor,"In this point cloud, the texture is barely identifiable. Photometric distortions include a high level of brightness distortion, a medium level of color distortion, a medium level of noise, and no perceptible blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, a severe level of grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
hhi_5.ply,Completely Damaged,Severe,Severe,High,None,Severe,None,Severe,None,None,1.953125,2,Bad,"Visually, the texture is completely damaged, with photometric distortions such as a severe level of brightness distortion, a severe level of color distortion, a high level of noise, and no perceptible blurriness. Geometric artifacts such as a severe level of point density distortion, no perceptible scattering artifact, a severe level of grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
hhi_6.ply,Clearly Identifiable,Low,Low,Low,None,Low,None,None,None,None,9.796875,10,Excellent,"Considering this point cloud, the texture is clearly identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
hhi_7.ply,Slightly distorted but identifiable,Low,Medium,Medium,None,Low,None,None,None,None,6.776923077,7,Good,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a medium level of color distortion, a medium level of noise, and no perceptible blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
hhi_8.ply,Slightly distorted but identifiable,Low,Medium,Medium,None,Low,None,None,None,None,6.107692308,6,Fair,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a medium level of color distortion, a medium level of noise, and no perceptible blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
hhi_9.ply,Distorted but identifiable,Low,Low,High,Low,Low,None,None,None,None,6.140625,6,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a high level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
hhi_10.ply,Distorted but identifiable,Low,Low,High,Low,Low,None,None,None,None,4.808333333,5,Fair,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a high level of noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
hhi_11.ply,Distorted but identifiable,Low,Low,High,Low,Low,None,None,None,None,5.021153846,5,Fair,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a high level of noise, and a low level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
hhi_12.ply,Distorted but identifiable,Medium,Low,Medium,None,Low,None,None,None,None,8.741666667,9,Excellent,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a medium level of brightness distortion, a low level of color distortion, a medium level of noise, and no perceptible blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
hhi_13.ply,Distorted but identifiable,Low,Medium,Medium,Low,Low,None,None,None,None,6.534615385,7,Good,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a medium level of color distortion, a medium level of noise, and a low level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
hhi_14.ply,Barely Identifiable,Medium,Medium,Medium,Low,Medium,None,None,None,None,7.015625,7,Good,"From a perceptual viewpoint, the texture is barely identifiable. Geometric distortions are characterized by a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a medium level of color distortion, a medium level of noise, and a low level of blurriness. The overall quality is rated as good."
hhi_15.ply,Barely Identifiable,Medium,Medium,High,Low,High,None,None,None,None,4.9296875,5,Fair,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a low level of blurriness, and geometric ones include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
hhi_16.ply,Completely Damaged,High,High,High,High,High,None,None,None,None,4.056122449,4,Poor,"Considering this point cloud, the texture is completely damaged. Photometric effects involve a high level of brightness distortion, a high level of color distortion, a high level of noise, and a high level of blurriness, whereas geometric effects involve a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
hhi_17.ply,Completely Damaged,Severe,High,Severe,Medium,Severe,None,None,None,None,1.785714286,2,Bad,"From a perceptual viewpoint, the texture is completely damaged. Geometric distortions are characterized by a severe level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a severe level of brightness distortion, a high level of color distortion, a severe level of noise, and a medium level of blurriness. The overall quality is rated as bad."
